Using a 4-gram for the Lunyu:
Xi quoted 62 verses a total of 151 times.
Han quoted 86 verses a total of 145 times.
Tang quoted 147 verses a total of 404 times.

Verse		Total	Xi	Han	Tang
14.21		1	0	1	0
14.25		1	0	0	1
14.31		1	1	0	0
14.33		1	0	1	0
14.35		4	1	2	1
14.39		1	0	0	1
14.41		4	0	3	1
14.43		7	0	2	5
15.1		5	0	0	5
15.3		5	4	0	1
15.5		1	0	0	1
15.6		3	0	1	2
15.8		1	0	0	1
15.9		2	1	1	0
15.10		1	0	1	0
15.12		1	1	0	0
15.46		1	0	0	1
15.18		3	3	0	0
15.19		1	1	0	0
15.24		12	12	0	0
15.25		1	0	0	1
15.30		3	0	3	0
15.32		3	0	2	1
15.36		1	1	0	0
15.39		1	1	0	0
16.1		22	4	4	14
16.2		1	0	0	1
16.4		1	1	0	0
16.8		1	0	1	0
16.11		1	0	0	1
16.12		4	0	1	3
17.5		3	1	1	1
17.6		2	0	0	2
17.8		1	0	0	1
17.13		1	0	0	1
17.16		1	0	1	0
17.17		1	0	0	1
17.19		7	0	1	6
17.20		1	0	1	0
17.21		2	2	0	0
18.2		2	0	0	2
18.5		1	1	0	0
18.6		1	0	0	1
18.7		24	0	2	22
18.8		2	0	1	1
18.10		1	0	1	0
19.1		3	0	0	3
19.2		2	0	2	0
19.4		3	0	0	3
19.6		2	0	2	0
19.12		4	0	1	3
19.18		3	0	1	2
19.19		3	0	2	1
19.20		4	0	0	4
19.21		1	0	0	1
19.22		10	0	0	10
19.23		2	0	1	1
19.25		4	1	1	2
20.1		46	0	11	35
20.2		1	0	0	1


Verse 1.1 (index 0)
子曰学而时习之不亦说乎有朋自远方来不亦乐乎人不知而不愠不亦君子乎
xi: {'25729647': ['文化', '有朋自远'], '20889750': ['文化', '有朋自远'], '25024391': ['社会', '有朋自远'], '27050042': ['外交', '有朋自远']}
han: {}
tang: {}

Verse 1.2 (index 1)
有子曰其为人也孝弟而好犯上者鲜矣不好犯上而好作乱者未之有也君子务本本立而道生孝弟也者其为仁之本与
xi: {'28874030': ['经济', '君子务本']}
han: {'擧孝弟诏(地节三年十一月) 66 BC': ['宣帝', '孝弟也者'], '赦东平王傅相诏 ???': ['元帝', '者未之有']}
tang: {'赐皇太子手诏': ['李世民（太宗皇帝一）', '者未之有'], '建三师诏': ['李世民（太宗皇帝一）', '者未之有'], '禁经序': ['李世民（太宗皇帝一）', '未之有也'], '西岳太华山碑序': ['李隆基（元宗皇帝一）', '未之有也']}

Verse 1.4 (index 3)
曾子曰吾日三省吾身─为人谋而不忠乎与朋友交而不信乎传不习乎
xi: {'28467564': ['外交', '与朋友交']}
han: {}
tang: {}

Verse 1.7 (index 6)
子夏曰贤贤易色事父母能竭其力事君能致其身与朋友交言而有信虽曰未学吾必谓之学矣
xi: {'28467564': ['外交', '与朋友交'], '23104126': ['外交', '言而有信']}
han: {}
tang: {}

Verse 1.9 (index 8)
曾子曰慎终追远民德归厚矣
xi: {'25770391': ['经济', '慎终追远']}
han: {}
tang: {'赠裴炎益州大都督制': ['李旦（睿宗皇帝一）', '慎终追远'], '允权德舆请缘迁祔令子弟营护奏手诏': ['李适（德宗皇帝一）', '慎终追远']}

Verse 1.10 (index 9)
子禽问于子贡曰夫子至于是邦也必闻其政求之与抑与之与子贡曰夫子温良恭俭让以得之夫子之求之也其诸异乎人之求之与
xi: {}
han: {}
tang: {'加宋王成器开府仪同三司制': ['李隆基（元宗皇帝一）', '温良恭俭'], '命鱼朝恩判国子监事敕': ['李豫（代宗皇帝一）', '温良恭俭'], '求贤诏': ['朱晃（梁太祖一）', '温良恭俭']}

Verse 1.11 (index 10)
子曰父在观其志父没观其行三年无改于父之道可谓孝矣
xi: {}
han: {}
tang: {'授钱镠第三子传瑛驸马都尉赐镠敕': ['朱晃（梁太祖一）', '三年无改'], '改元开运大赦文': ['李重贵（晋少帝一）', '三年无改']}

Verse 1.12 (index 11)
有子曰礼之用和为贵先王之道斯为美小大由之有所不行知和而和不以礼节之亦不可行也
xi: {'27788359': ['外交', '礼之用和']}
han: {}
tang: {'答魏征上群书理要手诏': ['李世民（太宗皇帝一）', '先王之道'], '封张说褚无量制': ['李隆基（元宗皇帝一）', '先王之道'], '贬齐汗麻察等制': ['李隆基（元宗皇帝一）', '先王之道'], '为李怀光立后诏': ['李适（德宗皇帝一）', '先王之道'], '韦贯之守尚书吏部侍郎制': ['李纯（宪宗皇帝一）', '有所不行'], '授韦昭度平章事制': ['李儇（僖宗皇帝一）', '先王之道']}

Verse 1.13 (index 12)
有子曰信近于义言可复也恭近于礼远耻辱也因不失其亲亦可宗也
xi: {}
han: {}
tang: {'西岳太华山碑序': ['李隆基（元宗皇帝一）', '言可复也']}

Verse 1.15 (index 14)
子贡曰贫而无谄富而无骄何如子曰可也未若贫而乐富而好礼者也子贡曰诗云如切如磋如琢如磨其斯之谓与子曰赐也始可与言诗已矣告诸往而知来者
xi: {}
han: {}
tang: {'命张说等与两省侍臣讲读制': ['李隆基（元宗皇帝一）', '如切如磋'], '优礼诸州乡贡明经进士诏': ['李隆基（元宗皇帝一）', '云如切如']}

Verse 1.16 (index 15)
子曰不患人之不己之患不知人也
xi: {'27789964': ['外交', '不患人之']}
han: {}
tang: {}

Verse 2.1 (index 16)
子曰为政以德譬如北辰居其所而众星共之
xi: {'29000964': ['政治', '为政以德'], '25729647': ['文化', '为政以德']}
han: {}
tang: {'贬令狐楚宣州刺史制': ['李纯（宪宗皇帝一）', '为政以德']}

Verse 2.2 (index 17)
子曰诗三百一言以蔽之曰思无邪
xi: {'25110795': ['外交', '一言以蔽']}
han: {}
tang: {}

Verse 2.3 (index 18)
子曰道之以政齐之以刑民免而无耻道之以德齐之以礼有耻且格
xi: {}
han: {}
tang: {'立社诏': ['李渊（高祖皇帝一）', '齐之以礼'], '访察官司请讬制': ['李旦（睿宗皇帝一）', '有耻且格'], '令曹濮等州休兵诏': ['李适（德宗皇帝一）', '有耻且格'], '讨吴元济制': ['李纯（宪宗皇帝一）', '有耻且格'], '授崔宏礼天平军节度使制': ['李昂（文宗皇帝一）', '齐之以礼']}

Verse 2.4 (index 19)
子曰吾十有五而志于学三十而立四十而不惑五十而知天命六十而耳顺七十而从心所欲不踰矩
xi: {'25296593': ['外交', '四十而不'], '25280743': ['外交', '四十而不'], '24770826': ['外交', '五十而知'], '24736453': ['外交', '五十而知']}
han: {}
tang: {}

Verse 2.11 (index 26)
子曰温故而知新可以为师矣
xi: {'25099536': ['经济', '温故而知'], '25729647': ['文化', '温故而知']}
han: {}
tang: {'薄葬诏': ['李世民（太宗皇帝一）', '可以为师']}

Verse 2.15 (index 30)
子曰学而不思则罔思而不学则殆
xi: {'20656845': ['政治', '学而不思'], '24973220': ['文化', '学而不思']}
han: {}
tang: {}

Verse 2.18 (index 33)
子张学干禄子曰多闻阙疑慎言其余则寡尤多见阙殆慎行其余则寡悔言寡尤行寡悔禄在其中矣
xi: {}
han: {'赐东平王太后玺书': ['元帝', '在其中矣'], '使诸儒共正经义诏(四年十一月壬戌)': ['章帝(一) r. 75-88', '在其中矣']}
tang: {'令举实才诏': ['李隆基（元宗皇帝一）', '禄在其中']}

Verse 2.20 (index 35)
季康子问使民敬忠以劝如之何子曰临之以庄则敬孝慈则忠举善而教不能则劝
xi: {}
han: {'赐公孙弘子孙当为后者爵诏(元始二年四月)': ['元王皇后', '善而教不']}
tang: {'改元元和赦文': ['李纯（宪宗皇帝一）', '临之以庄']}

Verse 2.21 (index 36)
或谓孔子曰子奚不为政子曰书云孝乎惟孝友于兄弟施于有政是亦为政奚其为为政
xi: {}
han: {}
tang: {'册徐州都督徐王元礼文': ['李世民（太宗皇帝一）', '友于兄弟'], '金镜': ['李世民（太宗皇帝一）', '孔子曰子'], '试文词举人赐食敕': ['李隆基（元宗皇帝一）', '施于有政'], '杨珣碑': ['李隆基（元宗皇帝一）', '孝乎惟孝'], '立遂王为皇太子诏': ['李纯（宪宗皇帝一）', '友于兄弟']}

Verse 2.22 (index 37)
子曰人而无信不知其可也大车无輗小车无軏其何以行之哉
xi: {'24973220': ['文化', '人而无信'], '28416143': ['外交', '人而无信'], '26883908': ['外交', '人而无信']}
han: {}
tang: {}

Verse 2.23 (index 38)
子张问十世可知也子曰殷因于夏礼所损益可知也周因于殷礼所损益可知也其或继周者虽百世可知也
xi: {}
han: {}
tang: {'改元载初赦文': ['', '其或继周']}

Verse 3.1 (index 40)
孔子谓季氏八佾舞于庭是可忍也孰不可忍也
xi: {}
han: {}
tang: {'亲征安禄山诏': ['李隆基（元宗皇帝一）', '孰不可忍']}

Verse 3.4 (index 43)
林放问礼之本子曰大哉问礼与齐奢也宁俭丧与其易也宁戚
xi: {}
han: {'赐公孙弘子孙当为后者爵诏(元始二年四月)': ['元王皇后', '奢也宁俭']}
tang: {}

Verse 3.6 (index 45)
季氏旅于泰山子谓冉有曰女弗能救与对曰不能子曰呜唿曾谓泰山不如林放乎
xi: {}
han: {'拒羣臣请封禅诏(三十年)': ['光武帝(一) r. 25-57', '曾谓泰山']}
tang: {}

Verse 3.8 (index 47)
子夏问曰巧笑倩兮美目盼兮素以为绚兮何为也子曰绘事后素曰礼后乎子曰起予者商也始可与言诗矣
xi: {}
han: {}
tang: {'君臣箴': ['李适（德宗皇帝一）', '起予者商'], '宸扆台衡二铭（并序）': ['李适（德宗皇帝一）', '起予者商']}

Verse 3.11 (index 50)
或问禘之说子曰不知也知其说者之于天下也其如示诸斯乎指其掌
xi: {}
han: {'地震诏(地节三年十月) 67 BC': ['宣帝', '天下也其'], '擧博士诏(阳朔二年九月) 23 BC FOR 2 ANALECTS QUOTES: 温故知新 (2.9? ; 工欲善其事，必先利其器》 15.9?': ['成帝', '于天下也'], '议定礼乐诏(三年。袁宏纪》作章和元年正月)': ['章帝(一) r. 75-88', '知其说者']}
tang: {'为元元皇帝设像诏': ['李隆基（元宗皇帝一）', '者之于天'], '授王涯兵部侍郎制': ['李纯（宪宗皇帝一）', '于天下也']}

Verse 3.12 (index 51)
祭如在祭神如神在子曰吾不与祭如不祭
xi: {}
han: {'议罢郡国庙诏(永光四年十月) 40 BC': ['元帝', '吾不与祭']}
tang: {'祠后土获符瑞行庆制': ['李隆基（元宗皇帝一）', '曰吾不与']}

Verse 3.14 (index 53)
子曰周监于二代郁郁乎文哉吾从周
xi: {}
han: {'葬丁太后(建平二年六月) 5 BC': ['哀帝', '郁郁乎文'], '奏请诸将帅封爵': ['王莽', '子曰周监']}
tang: {}

Verse 3.16 (index 55)
子曰射不主皮为力不同科古之道也
xi: {}
han: {'复高年子孙诏(建元元年四月) 140 BC': ['武帝', '古之道也'], '议不擧孝廉者罪诏(元朔元年十一月) 128 BC': ['武帝', '古之道也'], '诏有司复东平削县  ???29 BC': ['成帝', '古之道也']}
tang: {'免崔涤从坐诏': ['李隆基（元宗皇帝一）', '古之道也'], '命宰臣省察囚徒诏': ['李隆基（元宗皇帝一）', '古之道也']}

Verse 3.19 (index 58)
定公问君使臣臣事君如之何孔子对曰君使臣以礼臣事君以忠
xi: {}
han: {}
tang: {'早赴朝参诏': ['李亶（后唐明宗一）', '君使臣以']}

Verse 3.20 (index 59)
子曰关睢乐而不淫哀而不伤
xi: {'27699249': ['文化', '乐而不淫']}
han: {}
tang: {}

Verse 3.24 (index 63)
仪封人请见曰君子之至于斯也吾未尝不得见也从者见之出曰二三子何患于丧乎天下之无道也久矣天将以夫子为木铎
xi: {}
han: {}
tang: {'薄葬诏': ['李世民（太宗皇帝一）', '不得见也'], '在均州自陈表': ['', '乎天下之']}

Verse 3.25 (index 64)
子谓韶尽美矣又尽善也谓武尽美矣未尽善也
xi: {}
han: {}
tang: {'起义堂颂序': ['李隆基（元宗皇帝一）', '韶尽美矣']}

Verse 4.2 (index 67)
子曰不仁者不可以久处约不可以长处乐仁者安仁知者利仁
xi: {}
han: {}
tang: {'停封禅诏': ['李世民（太宗皇帝一）', '不可以久'], '立颍王为皇太弟勾当军国诏': ['李昂（文宗皇帝一）', '不可以久'], '立光王为皇太叔勾当军国敕': ['李炎（武宗皇帝一）', '不可以久'], '遗诏': ['李煜（昭宗皇帝）', '不可以久'], '禅位梁王诏': ['李（哀帝一）', '不可以久'], '命皇太子即位册文': ['', '不可以久']}

Verse 4.3 (index 68)
子曰唯仁者能好人能恶人
xi: {}
han: {'赐彭城王恭诏(年月未详)': ['和帝 r. 88-106', '仁者能好']}
tang: {}

Verse 4.6 (index 71)
子曰我未见好仁者恶不仁者好仁者无以尚之恶不仁者其为仁矣不使不仁者加乎其身有能一日用其力于仁矣乎我未见力不足者盖有之矣我未之见也
xi: {}
han: {'擧孝弟诏(地节三年十一月) 66 BC': ['宣帝', '者其为仁'], '报少傅桓荣书(为太子时)': ['明帝 r. 57-75', '力不足者']}
tang: {}

Verse 4.7 (index 72)
子曰人之过也各于其党观过斯知仁矣
xi: {}
han: {'奏复长安南北郊': ['王莽', '子曰人之']}
tang: {'罢张增叔孙胜诏': ['李豫（代宗皇帝一）', '各于其党']}

Verse 4.10 (index 75)
子曰君子之于天下也无适也无莫也义之于比
xi: {}
han: {'擧博士诏(阳朔二年九月) 23 BC FOR 2 ANALECTS QUOTES: 温故知新 (2.9? ; 工欲善其事，必先利其器》 15.9?': ['成帝', '于天下也'], '议定礼乐诏(三年。袁宏纪》作章和元年正月)': ['章帝(一) r. 75-88', '之于天下']}
tang: {'为元元皇帝设像诏': ['李隆基（元宗皇帝一）', '之于天下'], '授王涯兵部侍郎制': ['李纯（宪宗皇帝一）', '于天下也']}

Verse 4.13 (index 78)
子曰能以礼让为国乎何有不能以礼让为国如礼何
xi: {}
han: {}
tang: {'致仕朝参在见任本品之上诏': ['李世民（太宗皇帝一）', '能以礼让']}

Verse 4.15 (index 80)
子曰参乎吾道一以贯之曾子曰唯子出门人问曰何谓也曾子曰夫子之道忠恕而已矣
xi: {'29000964': ['政治', '一以贯之'], '28751570': ['政治', '一以贯之'], '25507193': ['政治', '一以贯之'], '25690823': ['外交', '一以贯之']}
han: {}
tang: {'赐孝义高年粟帛诏': ['李世民（太宗皇帝一）', '恕而已矣'], '追谥靖德太子琮为奉天皇帝诏': ['李亨（肃宗皇帝一）', '一以贯之']}

Verse 4.16 (index 81)
子曰君子喻于义小人喻于利
xi: {'24973220': ['文化', '君子喻于']}
han: {}
tang: {}

Verse 4.17 (index 82)
子曰见贤思齐焉见不贤而内自省也
xi: {'29000964': ['政治', '见贤思齐'], '27537307': ['政治', '见贤思齐'], '25629946': ['文化', '见贤思齐'], '25088947': ['社会', '见贤思齐'], '25690823': ['外交', '见贤思齐']}
han: {}
tang: {}

Verse 4.20 (index 85)
子曰三年无改于父之道可谓孝矣
xi: {}
han: {}
tang: {'授钱镠第三子传瑛驸马都尉赐镠敕': ['朱晃（梁太祖一）', '三年无改'], '改元开运大赦文': ['李重贵（晋少帝一）', '三年无改']}

Verse 4.21 (index 86)
子曰父母之年不可不知也一则以喜一则以惧
xi: {}
han: {'诏许梁松等封禅(中元元年)': ['光武帝(一) r. 25-57', '一则以喜']}
tang: {}

Verse 4.23 (index 88)
子曰以约失之者鲜矣
xi: {}
han: {'报许皇后': ['成帝', '以约失之']}
tang: {'答皇太子承干诏': ['李世民（太宗皇帝一）', '以约失之']}

Verse 4.24 (index 89)
子曰君子欲讷于言而敏于行
xi: {}
han: {}
tang: {'授李回同平章事制': ['李炎（武宗皇帝一）', '君子欲讷']}

Verse 4.25 (index 90)
子曰德不孤必有邻
xi: {'24973220': ['文化', '德不孤必'], '27050042': ['外交', '德不孤必']}
han: {}
tang: {}

Verse 5.1 (index 92)
子谓公冶长可妻也虽在缧绁之中非其罪也以其子妻之
xi: {}
han: {}
tang: {'水潦大赦诏': ['李世民（太宗皇帝一）', '缧绁之中']}

Verse 5.5 (index 96)
或曰雍也仁而不佞子曰焉用佞御人以口给屡憎于人不知其仁焉用佞
xi: {}
han: {'营寿陵诏(四月)': ['光武帝(一) r. 25-57', '人不知其']}
tang: {}

Verse 5.13 (index 104)
子贡曰夫子之文章可得而闻也夫子之言性与天道不可得而闻也
xi: {}
han: {}
tang: {'颁示孙伏伽谏书诏': ['李渊（高祖皇帝一）', '性与天道'], '道德真经疏释题词': ['李隆基（元宗皇帝一）', '不可得而'], '庆唐观纪圣铭（并序）': ['李隆基（元宗皇帝一）', '不可得而'], '故金紫光禄大夫鸿胪卿越国公景龙观主赠越州都督叶尊师碑铭（并序）': ['李隆基（元宗皇帝一）', '不可得而'], '追谥靖德太子琮为奉天皇帝诏': ['李亨（肃宗皇帝一）', '性与天道'], '甄叙皇属敕': ['李亨（肃宗皇帝一）', '不可得而'], '请宣示御制华岳碑文表': ['', '不可得而'], '更议帖经事例敕': ['李亶（后唐明宗一）', '子之文章']}

Verse 5.15 (index 106)
子贡问曰孔文子何以谓之文也子曰敏而好学不耻下问是以谓之文也
xi: {'27789964': ['外交', '敏而好学']}
han: {}
tang: {}

Verse 5.16 (index 107)
子谓子产有君子之道四焉其行己也恭其事上也敬其养民也惠其使民也义
xi: {}
han: {'报许皇后': ['成帝', '君子之道']}
tang: {'引见诸州高蹈不仕举人诏': ['李隆基（元宗皇帝一）', '君子之道']}

Verse 5.20 (index 111)
季文子三思而后行子闻之曰再斯可矣
xi: {'23117743': ['外交', '三思而后']}
han: {}
tang: {}

Verse 5.22 (index 113)
子在陈曰归与归与吾党之小子狂简斐然成章不知所以裁之
xi: {}
han: {}
tang: {'指法论': ['李世民（太宗皇帝一）', '不知所以']}

Verse 5.23 (index 114)
子曰伯夷叔齐不念旧恶怨是用希
xi: {}
han: {'以范升奏示公卿诏': ['光武帝(一) r. 25-57', '伯夷叔齐']}
tang: {}

Verse 5.26 (index 117)
颜渊季路侍子曰盍各言尔志子路曰愿车马衣轻裘与朋友共蔽之而无憾颜渊曰愿无伐善无施劳子路曰愿闻子之志子曰老者安之朋友信之少者怀之
xi: {}
han: {}
tang: {'遣宋涯宣慰安南邕管敕': ['李忱（宣宗皇帝）', '老者安之']}

Verse 5.28 (index 119)
子曰十室之邑必有忠信如丘者焉不如丘之好学也
xi: {}
han: {'议不擧孝廉者罪诏(元朔元年十一月) 128 BC': ['武帝', '十室之邑']}
tang: {'平徐州推恩制': ['李漼（懿宗皇帝一）', '十室之邑'], '遣使宣慰蕲黄等州敕': ['李儇（僖宗皇帝一）', '必有忠信'], '搜访贤良诏': ['', '十室之邑']}

Verse 6.2 (index 121)
仲弓问子桑伯子子曰可也简仲弓曰居敬而行简以临其民不亦不可乎居简而行简无乃大简乎子曰雍之言然
xi: {}
han: {}
tang: {'册虢王凤宋州刺史文': ['李治（高宗皇帝一）', '居敬而行'], '答郭子仪让尚书令手诏': ['李豫（代宗皇帝一）', '居敬而行']}

Verse 6.3 (index 122)
哀公问弟子孰为好学孔子对曰有颜回者好学不迁怒不贰过不幸短命死矣今也则亡未闻好学者也
xi: {}
han: {}
tang: {'答王缙进王维集表诏': ['李豫（代宗皇帝一）', '今也则亡']}

Verse 6.4 (index 123)
子华使于齐冉子为其母请粟子曰与之釜请益曰与之庾冉子与之粟五秉子曰赤之适齐也乘肥马衣轻裘吾闻之也君子周急不继富
xi: {}
han: {}
tang: {'服制议': ['李博乂（陇西王博乂）', '子为其母']}

Verse 6.5 (index 124)
原思为之宰与之粟九百辞子曰毋以与尔邻里乡党乎
xi: {}
han: {'限田禁奴婢(始建国元年)': ['王莽', '邻里乡党']}
tang: {}

Verse 6.6 (index 125)
子谓仲弓曰犁牛之子骍且角虽欲勿用山川其舍诸
xi: {}
han: {}
tang: {'授逸民道士等官教': ['李渊（高祖皇帝一）', '虽欲勿用']}

Verse 6.8 (index 127)
季康子问仲由可使从政也与子曰由也果于从政乎何有曰赐也可使政也与曰赐也达于从政乎何有曰求也可使从政也与曰求也艺于从政乎何有
xi: {}
han: {}
tang: {'即位赦文': ['', '可使从政'], '处分及第举人诏': ['李纯（宪宗皇帝一）', '可使从政']}

Verse 6.9 (index 128)
季氏使闵子骞为费宰闵子骞曰善为我辞焉如有复我者则吾必在汶上矣
xi: {}
han: {'报许皇后': ['成帝', '闵子骞曰']}
tang: {}

Verse 6.10 (index 129)
伯牛有疾子问之自牖执其手曰亡之命矣夫斯人也有斯疾也斯人也有斯疾也
xi: {}
han: {'闵楚王被疾诏(河平中) 28-25 BC': ['成帝', '之命矣夫']}
tang: {}

Verse 6.12 (index 131)
冉求曰非不说子之道力不足也子曰力不足者中道而废今女画
xi: {}
han: {'报少傅桓荣书(为太子时)': ['明帝 r. 57-75', '冉求曰非']}
tang: {}

Verse 6.17 (index 136)
子曰谁能出不由户何莫由斯道也
xi: {}
han: {}
tang: {'遣使宣抚水灾诏': ['李适（德宗皇帝一）', '何莫由斯']}

Verse 6.18 (index 137)
子曰质胜文则野文胜质则史文质彬彬然后君子
xi: {}
han: {'地震擧贤良方正诏(三月己巳)': ['章帝(一) r. 75-88', '文质彬彬']}
tang: {}

Verse 6.19 (index 138)
子曰人之生也直罔之生也幸而免
xi: {}
han: {'奏复长安南北郊': ['王莽', '子曰人之']}
tang: {}

Verse 6.20 (index 139)
子曰知之者不如好之者好之者不如乐之者
xi: {'20656845': ['政治', '知之者不']}
han: {}
tang: {}

Verse 6.23 (index 142)
子曰知者乐水仁者乐山知者动仁者静知者乐仁者寿
xi: {'25637865': ['外交', '仁者乐山']}
han: {}
tang: {}

Verse 6.27 (index 146)
子曰君子博学于文约之以礼亦可以弗畔矣夫
xi: {}
han: {}
tang: {'甄叙皇属敕': ['李亨（肃宗皇帝一）', '约之以礼']}

Verse 6.28 (index 147)
子见南子子路不说夫子矢之曰予所否者天厌之天厌之
xi: {}
han: {'诏羣臣(元始二年)': ['元王皇后', '子见南子']}
tang: {}

Verse 6.29 (index 148)
子曰中庸之为德也其至矣乎民鲜久矣
xi: {}
han: {}
tang: {'喜雨赋': ['李隆基（元宗皇帝一）', '之为德也'], '臣轨序（轨一作范）': ['', '其至矣乎']}

Verse 6.30 (index 149)
子贡曰如有博施于民而能济众何如可谓仁乎子曰何事于仁必也圣乎尧舜其犹病诸夫仁者己欲立而立人己欲达而达人能近取譬可谓仁之方也已
xi: {'26883908': ['外交', '己欲立而'], '25690823': ['外交', '己欲立而']}
han: {}
tang: {'给复宋亳等三十二州制': ['朱晃（梁太祖一）', '其犹病诸'], '答冯道等上尊号诏': ['郭威（周太祖一）', '施于民而']}

Verse 7.2 (index 151)
子曰默而识之学而不厌诲人不倦何有于我哉
xi: {'25629946': ['文化', '学而不厌']}
han: {}
tang: {}

Verse 7.3 (index 152)
子曰德之不修学之不讲闻义不能徒不善不能改是吾忧也
xi: {}
han: {'使诸儒共正经义诏(四年十一月壬戌)': ['章帝(一) r. 75-88', '是吾忧也'], '试儒生诏(九月)': ['献帝 r. 189-220', '学之不讲']}
tang: {'命张说等与两省侍臣讲读制': ['李隆基（元宗皇帝一）', '子曰德之'], '黜陟内外官制': ['李隆基（元宗皇帝一）', '德之不修'], '改元上元赦文': ['李亨（肃宗皇帝一）', '德之不修'], '准太学生徒支给厨米敕': ['李豫（代宗皇帝一）', '是吾忧也'], '勒林恩郑元弼归国诏': ['石敬瑭（晋高祖一）', '德之不修']}

Verse 7.11 (index 160)
子谓颜渊曰用之则行舍之则藏惟我与尔有是夫子路曰子行三军则谁与子曰暴虎冯河死而不悔者吾不与也必也临事而惧好谋而成者也
xi: {}
han: {}
